member_id,member_group_id,jointing_pattern_id,repeat_structure,part_id,part_count
M9-1,M9,J0^M9,2,"['P8', 'P9', 'P8', 'P9']",4
M10-1,M10,J1^M10,2,"['P17', 'P17', 'P18', 'P18', 'P17', 'P17', 'P18', 'P18']",8
M11-1,M11,J0^M11,2,"['P25', 'P26', 'P25', 'P26']",4
M12-1,M12,J1^M12,2,"['P17', 'P17', 'P18', 'P18', 'P17', 'P17', 'P18', 'P18']",8
M13-1,M13,J0^M13,2,"['P17', 'P18', 'P17', 'P18']",4
M14-1,M14,J1^M14,2,"['P17', 'P17', 'P18', 'P18', 'P17', 'P17', 'P18', 'P18']",8
M15-1,M15,J0^M15,2,"['P17', 'P18', 'P17', 'P18']",4
M16-1,M16,J0^M16,2,['P29'],1
M16-2,M16,J0^M16,2,['P29'],1
M16-3,M16,J0^M16,2,['P29'],1
M16-4,M16,J0^M16,2,['P29'],1
M16-5,M16,J0^M16,2,['P29'],1
M16-6,M16,J0^M16,2,['P29'],1
M16-7,M16,J0^M16,2,['P29'],1
M16-8,M16,J0^M16,2,['P29'],1
M17-1,M17,J0^M17,2,['P30'],1
M17-2,M17,J0^M17,2,['P30'],1
M17-3,M17,J0^M17,2,['P30'],1
M17-4,M17,J0^M17,2,['P30'],1
M17-5,M17,J0^M17,2,['P30'],1
M17-6,M17,J0^M17,2,['P30'],1
M17-7,M17,J0^M17,2,['P30'],1
M17-8,M17,J0^M17,2,['P30'],1
M1-1,M1,J0^M1,3,['P0'],1
M1-2,M1,J0^M1,3,['P0'],1
M1-3,M1,J0^M1,3,['P0'],1
